id,leto,mesec,dan,ura,minuta,sekunda,DOL,dolzina,SIR,sirina,globina,magnituda,regija
537054,2016,10,14,23,26,56.6,E,41.67,N,39.19,6,2.2,EASTERN TURKEY
537058,2016,10,14,23,25,46.0,E,39.19,N,58.28,17,2.6,EASTERN TURKEY
537039,2016,10,14,22,52,48.2,W,97.91,N,36.91,5,2.5,OKLAHOMA
537211,2016,10,14,22,03,33.0,W,96.88,N,36.41,7,2.0,OKLAHOMA
537038,2016,10,14,22,02,34.9,W,19.38,N,16.60,3,2.1,"ISLAND OF HAWAII, HAWAII"
537032,2016,10,14,21,45,12.7,W,78.71,S,10.81,10,4.4,NEAR COAST OF CENTRAL PERU
537036,2016,10,14,21,38,08.0,E,12.44,N,59.79,200,4.9,SANTA CRUZ ISLANDS
537035,2016,10,14,21,28,45.3,E,40.12,N,52.46,15,2.2,AEGEAN SEA
537588,2016,10,14,21,09,23.9,W,19.41,N,49.44,2,2.0,"ISLAND OF HAWAII, HAWAII"
537025,2016,10,14,21,08,00.0,W,58.00,N,19.41,56,2.5,"KODIAK ISLAND REGION, ALASKA"
537021,2016,10,14,20,52,05.5,E,36.54,N,52.06,20,4.2,NORTHWESTERN IRAN
537007,2016,10,14,19,55,04.0,W,69.08,S,19.82,124,3.2,"TARAPACA, CHILE"
537210,2016,10,14,19,41,06.3,W,96.87,N,36.41,6,2.3,OKLAHOMA
537006,2016,10,14,19,31,25.9,W,40.74,N,38.32,7,2.3,NORTHERN CALIFORNIA
537004,2016,10,14,18,31,19.1,E,13.07,N,42.87,9,2.5,CENTRAL ITALY
537001,2016,10,14,18,29,04.0,E,35.75,N,35.87,1,2.2,"CRETE, GREECE"
537030,2016,10,14,18,10,37.0,W,21.93,N,50.63,113,4.7,"ANTOFAGASTA, CHILE"
536996,2016,10,14,17,25,24.1,W,60.69,N,16.71,25,4.4,"GUADELOUPE REGION, LEEWARD ISL."
536997,2016,10,14,17,23,19.6,E,71.33,N,36.69,179,4.3,"HINDU KUSH REGION, AFGHANISTAN"
536998,2016,10,14,17,22,45.4,W,60.01,N,56.41,46,2.5,"KENAI PENINSULA, ALASKA"
536991,2016,10,14,16,38,49.0,W,68.94,S,22.38,102,2.6,"ANTOFAGASTA, CHILE"
536989,2016,10,14,16,14,50.0,W,70.78,S,32.13,64,3.8,"VALPARAISO, CHILE"
536989,2016,10,14,16,14,50.0,W,70.78,S,32.13,64,3.8,"VALPARAISO, CHILE"
536992,2016,10,14,16,09,00.1,E,26.32,N,45.48,124,3.1,ROMANIA
536987,2016,10,14,16,08,48.8,E,38.97,N,49.92,1,2.1,GREECE
536986,2016,10,14,16,01,54.4,E,37.97,N,19.36,1,2.2,IONIAN SEA
536985,2016,10,14,15,44,11.7,E,21.78,N,38.43,1,3.0,GREECE
536988,2016,10,14,15,35,35.4,E,39.57,N,38.16,18,2.1,EASTERN TURKEY
536981,2016,10,14,14,51,39.2,W,41.93,N,41.90,4,2.0,NEVADA
536979,2016,10,14,14,39,46.3,E,41.37,N,39.10,5,3.1,EASTERN TURKEY
536977,2016,10,14,14,35,44.4,E,30.78,N,40.19,26,2.3,WESTERN TURKEY
536978,2016,10,14,14,35,30.4,E,22.41,N,38.98,1,2.3,GREECE
536984,2016,10,14,14,35,18.0,E,39.06,N,61.31,12,2.2,AEGEAN SEA
536974,2016,10,14,14,06,38.2,W,65.62,N,17.91,6,3.0,PUERTO RICO REGION
536971,2016,10,14,13,46,33.1,E,49.98,N,30.94,40,3.8,WESTERN IRAN
536969,2016,10,14,13,45,55.2,E,36.43,N,36.05,12,2.0,CENTRAL TURKEY
536965,2016,10,14,13,11,02.0,W,68.97,S,21.21,96,2.4,"TARAPACA, CHILE"
536962,2016,10,14,13,05,22.2,E,38.75,N,36.87,29,2.6,TURKEY-SYRIA BORDER REGION
536962,2016,10,14,13,05,22.2,E,38.75,N,36.87,29,2.6,TURKEY-SYRIA BORDER REGION
536958,2016,10,14,12,59,52.0,E,20.60,N,38.76,10,2.7,GREECE
536960,2016,10,14,12,59,04.7,W,20.90,N,59.77,98,2.5,"ANTOFAGASTA, CHILE"
536970,2016,10,14,12,48,34.4,E,13.06,N,42.87,9,2.5,CENTRAL ITALY
536966,2016,10,14,12,47,34.0,E,45.71,N,59.82,99,2.7,ROMANIA
536967,2016,10,14,12,41,01.0,E,35.54,N,60.92,1,2.1,"CRETE, GREECE"
536961,2016,10,14,12,30,00.0,E,37.66,N,35.75,6,2.2,CENTRAL TURKEY
536957,2016,10,14,12,19,18.0,W,36.50,N,58.87,5,3.2,OKLAHOMA
536950,2016,10,14,11,45,20.9,E,28.67,N,37.10,5,2.5,WESTERN TURKEY
536949,2016,10,14,11,42,14.1,E,31.13,N,40.39,5,2.3,WESTERN TURKEY
536945,2016,10,14,10,58,10.4,W,73.61,S,37.53,20,4.9,"BIO-BIO, CHILE"
