id,leto,mesec,DOL,dolzina,regija,minuta,SIR,ura,sirina,dan,magnituda,globina,sekunda
537057,2016,10,W,69.28,"TARAPACA, CHILE",26,S,23,19.21,14,2.6,105,58.0
537054,2016,10,E,41.67,EASTERN TURKEY,26,N,23,39.19,14,2.2,6,56.6
537058,2016,10,E,39.19,EASTERN TURKEY,25,N,23,58.28,14,2.6,17,46.0
537039,2016,10,W,97.91,OKLAHOMA,52,N,22,36.91,14,2.5,5,48.2
537211,2016,10,W,96.88,OKLAHOMA,03,N,22,36.41,14,2.0,7,33.0
537038,2016,10,W,19.38,"ISLAND OF HAWAII, HAWAII",02,N,22,16.60,14,2.1,3,34.9
537032,2016,10,W,78.71,NEAR COAST OF CENTRAL PERU,45,S,21,10.81,14,4.4,10,12.7
537036,2016,10,E,12.44,SANTA CRUZ ISLANDS,38,N,21,59.81,14,4.9,200,08.0
537035,2016,10,E,40.12,AEGEAN SEA,28,N,21,52.46,14,2.2,15,45.3
537588,2016,10,W,19.41,"ISLAND OF HAWAII, HAWAII",09,N,21,49.44,14,2.0,2,23.9
537029,2016,10,W,51.47,"ANDREANOF ISLANDS, ALEUTIAN IS.",54,N,20,58.03,14,2.1,20,51.0
537199,2016,10,E,36.54,NORTHWESTERN IRAN,24,N,20,52.06,14,4.2,20,10.0
537007,2016,10,W,69.08,"TARAPACA, CHILE",55,S,19,19.82,14,3.2,124,04.0
537210,2016,10,W,96.87,OKLAHOMA,41,N,19,36.41,14,2.3,6,06.3
537006,2016,10,W,50.57,"ANDREANOF ISLANDS, ALEUTIAN IS.",31,N,19,38.32,14,2.7,20,25.9
537002,2016,10,E,42.87,CENTRAL ITALY,33,N,18,40.74,14,2.5,9,54.0
537001,2016,10,E,35.75,"CRETE, GREECE",29,N,18,35.87,14,2.2,1,04.0
537030,2016,10,W,21.93,"ANTOFAGASTA, CHILE",10,N,18,50.82,14,4.7,113,36.0
538346,2016,10,W,16.71,"GUADELOUPE REGION, LEEWARD ISL.",54,N,17,56.44,14,4.4,25,56.0
536997,2016,10,E,71.33,"HINDU KUSH REGION, AFGHANISTAN",23,N,17,36.69,14,4.3,179,19.6
536998,2016,10,W,60.10,"KENAI PENINSULA, ALASKA",22,N,17,56.41,14,2.2,58,45.4
536991,2016,10,W,68.94,"ANTOFAGASTA, CHILE",38,S,16,22.38,14,2.6,102,49.0
536989,2016,10,W,70.78,"VALPARAISO, CHILE",14,S,16,32.13,14,3.8,64,50.0
536992,2016,10,E,26.32,ROMANIA,09,N,16,45.48,14,3.1,124,00.1
536987,2016,10,E,38.97,GREECE,08,N,16,49.92,14,2.1,1,48.8
536986,2016,10,E,37.97,IONIAN SEA,01,N,16,19.36,14,2.2,1,54.4
536985,2016,10,E,21.78,GREECE,44,N,15,38.43,14,3.0,1,11.7
536988,2016,10,E,39.57,EASTERN TURKEY,35,N,15,38.16,14,2.1,18,35.4
536981,2016,10,W,41.93,NEVADA,51,N,14,41.90,14,2.0,4,39.2
536979,2016,10,E,41.37,EASTERN TURKEY,39,N,14,39.10,14,3.1,5,46.3
536977,2016,10,E,30.78,WESTERN TURKEY,35,N,14,40.19,14,2.3,26,44.4
536978,2016,10,E,22.41,GREECE,35,N,14,38.98,14,2.3,1,30.4
536984,2016,10,E,39.06,AEGEAN SEA,35,N,14,61.33,14,2.2,12,19.0
536975,2016,10,E,25.78,AEGEAN SEA,20,N,14,39.06,14,2.2,12,01.9
536974,2016,10,W,65.62,PUERTO RICO REGION,06,N,14,17.91,14,3.0,6,38.2
536971,2016,10,E,49.98,WESTERN IRAN,46,N,13,30.94,14,3.8,40,33.1
536969,2016,10,E,36.43,CENTRAL TURKEY,45,N,13,36.05,14,2.0,12,55.2
536965,2016,10,W,68.97,"TARAPACA, CHILE",11,S,13,21.21,14,2.4,96,02.0
536962,2016,10,E,38.75,TURKEY-SYRIA BORDER REGION,05,N,13,36.87,14,2.6,29,22.2
536958,2016,10,E,20.60,GREECE,59,N,12,38.76,14,2.7,10,52.0
536960,2016,10,W,20.90,"ANTOFAGASTA, CHILE",59,N,12,59.77,14,2.5,98,04.7
536970,2016,10,E,13.06,CENTRAL ITALY,48,N,12,42.87,14,2.5,9,34.4
536966,2016,10,E,45.71,ROMANIA,47,N,12,59.84,14,2.7,99,35.0
536967,2016,10,E,35.54,"CRETE, GREECE",41,N,12,60.92,14,2.1,1,01.0
536961,2016,10,E,37.66,CENTRAL TURKEY,30,N,12,35.75,14,2.2,6,00.0
536957,2016,10,W,36.50,OKLAHOMA,19,N,12,58.87,14,3.2,5,18.0
536950,2016,10,E,28.67,WESTERN TURKEY,45,N,11,37.10,14,2.5,5,20.9
536949,2016,10,E,31.13,WESTERN TURKEY,42,N,11,40.39,14,2.3,5,14.1
536949,2016,10,E,31.13,WESTERN TURKEY,42,N,11,40.39,14,2.3,5,14.1
536945,2016,10,W,73.61,"BIO-BIO, CHILE",58,S,10,37.53,14,4.9,20,10.4
536968,2016,10,W,89.92,ARKANSAS,24,N,10,35.92,14,2.0,7,06.0
536941,2016,10,W,51.45,"ANDREANOF ISLANDS, ALEUTIAN IS.",23,N,10,73.13,14,2.4,24,36.0
536940,2016,10,W,73.14,NORTHERN COLOMBIA,36,N,09,80.21,14,2.3,149,55.0
536936,2016,10,E,31.60,WESTERN TURKEY,17,N,09,40.51,14,2.0,10,01.6
536937,2016,10,E,42.87,CENTRAL ITALY,58,N,08,59.45,14,2.8,9,47.0
536925,2016,10,E,19.13,VANUATU,31,N,08,38.81,14,4.5,272,54.3
536938,2016,10,E,46.52,SWITZERLAND,30,N,08,57.52,14,1.9,11,38.0
536931,2016,10,W,18.58,VIRGIN ISLANDS REGION,54,N,07,62.29,14,3.2,63,31.0
536920,2016,10,E,34.23,"CRETE, GREECE",13,N,07,63.03,14,2.7,10,55.0
537022,2016,10,W,32.12,"SAN JUAN, ARGENTINA",45,N,06,51.53,14,3.3,120,50.0
536909,2016,10,W,69.90,"SAN JUAN, ARGENTINA",33,S,06,32.12,14,3.3,120,55.0
536911,2016,10,E,35.91,CYPRUS REGION,28,N,06,15.26,14,2.4,60,18.2
536904,2016,10,W,70.00,"ANTOFAGASTA, CHILE",32,S,05,21.49,14,2.7,45,57.0
538344,2016,10,E,34.37,CYPRUS REGION,06,N,05,50.77,14,2.8,10,32.0
536900,2016,10,W,70.90,"ATACAMA, CHILE",02,S,05,27.97,14,2.6,51,41.0
536902,2016,10,W,61.99,SOUTHERN ALASKA,02,N,05,59.28,14,2.1,19,06.0
536899,2016,10,E,42.63,CENTRAL ITALY,26,N,04,19.38,14,3.3,11,56.0
536980,2016,10,W,96.89,OKLAHOMA,50,N,03,36.45,14,2.0,5,39.2
536894,2016,10,W,24.09,"SALTA, ARGENTINA",43,N,03,72.67,14,3.9,210,54.0
536890,2016,10,E,22.85,CENTRAL MEDITERRANEAN SEA,14,N,03,35.29,14,2.4,4,13.0
536919,2016,10,W,64.95,VIRGIN ISLANDS REGION,06,N,03,18.42,14,2.4,19,20.5
536921,2016,10,W,65.40,PUERTO RICO REGION,54,N,02,19.57,14,2.6,75,51.9
536888,2016,10,E,26.05,NEAR THE COAST OF WESTERN TURKEY,39,N,02,39.09,14,2.2,6,08.9
536889,2016,10,W,30.35,"OFFSHORE COQUIMBO, CHILE",19,N,02,63.49,14,2.7,17,50.0
